"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"1999";8,36;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2000";9,11;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2001";9,93;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2002";9,56;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2003";7,67;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2004";8,72;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2005";8,46;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2006";8,30;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2007";8,20;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2008";8,68;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2009";9,65;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2010";9,24;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2011";9,75;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2012";10,98;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2013";11,03;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2014";10,61;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2015";9,81;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2016";9,70;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2017";10,23;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2018";10,08;"PLN";"";
0000000;"POLAND";"pork meat with bone (shoulder) - per 1kg";"2019";11,27;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"1999";11,13;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2000";12,14;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2001";12,99;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2002";12,16;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2003";10,91;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2004";12,65;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2005";11,90;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2006";11,80;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2007";12,02;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2008";12,84;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2009";13,51;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2010";12,13;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2011";12,78;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2012";14,12;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2013";13,98;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2014";13,30;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2015";12,48;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2016";12,79;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2017";13,42;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2018";13,05;"PLN";"";
0000000;"POLAND";"pork  with bone (center-cut pork chop) - per 1kg";"2019";14,38;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"1999";6,94;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2000";7,74;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2001";8,75;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2002";8,68;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2003";7,26;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2004";8,55;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2005";8,46;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2006";8,45;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2007";8,63;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2008";9,21;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2009";10,68;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2010";10,23;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2011";10,74;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2012";12,65;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2013";12,93;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2014";12,48;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2015";12,06;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2016";12,39;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2017";13,93;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2018";13,86;"PLN";"";
0000000;"POLAND";"pork  meat (raw bacon) - per 1kg";"2019";14,92;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"1999";8,13;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2000";8,92;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2001";9,57;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2002";9,67;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2003";9,82;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2004";12,42;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2005";14,40;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2006";15,13;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2007";15,84;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2008";17,31;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2009";19,01;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2010";19,00;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2011";21,60;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2012";25,51;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2013";25,95;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2014";25,07;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2015";24,82;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2016";25,11;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2017";25,30;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2018";25,79;"PLN";"";
0000000;"POLAND";"beef with bone (rump steak) - per 1kg";"2019";25,92;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"1999";10,62;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2000";11,80;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2001";12,53;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2002";12,55;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2003";12,54;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2004";15,49;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2005";18,50;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2006";19,62;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2007";20,49;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2008";21,30;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2009";22,38;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2010";22,48;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2011";25,30;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2012";29,04;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2013";29,29;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2014";28,79;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2015";28,77;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2016";28,84;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2017";28,94;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2018";29,38;"PLN";"";
0000000;"POLAND";"boneless beef (sirloin) - per 1kg";"2019";29,57;"PLN";"";
