"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0000000;"POLAND";"bread 1kg";"1999";1,81;"PLN";"";
0000000;"POLAND";"bread 1kg";"2000";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2001";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2002";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2003";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2004";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2005";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2006";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2007";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2008";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2009";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2010";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2011";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2012";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2013";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2014";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2015";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2016";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2017";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2018";;"PLN";"";
0000000;"POLAND";"bread 1kg";"2019";;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"1999";;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"2000";2,14;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"2001";2,33;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"2002";2,28;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"2003";2,20;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"2004";2,27;"PLN";"";
0000000;"POLAND";"plain mixed bread (wheat-rye) - per 1kg";"2005";2,29;"PLN";"";
