"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"1999";0,20;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2000";0,26;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2001";0,29;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2002";0,25;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2003";0,27;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2004";0,34;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2005";0,21;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2006";0,20;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2007";0,21;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2008";0,23;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2009";0,27;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2010";0,27;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2011";0,26;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2012";0,41;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2013";0,32;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2014";0,29;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2015";0,30;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2016";0,26;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2017";0,35;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2018";0,32;"PLN";"";
0000000;"POLAND";"fresh chicken eggs - per 1 pc.";"2019";0,30;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"1999";1,85;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2000";2,36;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2001";2,11;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2002";2,10;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2003";1,82;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2004";2,62;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2005";2,58;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2006";2,64;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2007";2,50;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2008";2,19;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2009";2,52;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2010";2,15;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2011";2,96;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2012";3,25;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2013";3,07;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2014";2,08;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2015";1,91;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2016";2,37;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2017";2,33;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2018";1,63;"PLN";"";
0000000;"POLAND";"beet sugar white, bagged - per 1kg";"2019";1,67;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"1999";13,11;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2000";14,68;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2001";15,35;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2002";15,12;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2003";15,20;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2004";16,48;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2005";16,62;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2006";16,37;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2007";18,41;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2008";19,53;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2009";22,06;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2010";19,44;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2011";15,16;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2012";13,66;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2013";15,23;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2014";16,69;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2015";16,72;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2016";17,52;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2017";17,05;"PLN";"";
0000000;"POLAND";"natural chocolate plain - per 1kg";"2018";16,75;"PLN";"";
