"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"1999";2,55;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2000";2,69;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2001";2,91;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2002";3,16;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2003";2,99;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2004";2,62;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2005";2,61;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2006";2,83;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2007";2,98;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2008";3,14;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2009";3,24;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2010";3,34;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2011";3,61;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2012";3,61;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2013";3,51;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2014";3,42;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2015";3,42;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2016";3,56;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2017";3,40;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2018";3,61;"PLN";"";
0000000;"POLAND";"frozen carrot and pea mix - per 1kg";"2019";3,55;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"1999";6,53;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2000";6,88;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2001";7,43;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2002";7,21;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2003";7,27;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2004";8,08;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2005";8,10;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2006";7,29;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2007";7,88;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2008";9,49;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2009";10,46;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2010";11,51;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2011";12,27;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2012";12,24;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2013";12,83;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2014";10,38;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2015";10,35;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2016";9,78;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2017";9,27;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2018";9,24;"PLN";"";
0000000;"POLAND";"30% tomato concentrate - per 1kg";"2019";9,10;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"1999";2,15;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2000";2,46;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2001";2,88;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2002";2,68;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2003";2,40;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2004";2,33;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2005";2,70;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2006";2,49;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2007";2,49;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2008";2,86;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2009";3,12;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2010";3,00;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2011";2,82;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2012";2,92;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2013";2,98;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2014";3,28;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2015";3,22;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2016";3,31;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2017";3,07;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2018";3,06;"PLN";"";
0000000;"POLAND";"whole pickled cucumbers 0.9l - per 1pc.";"2019";3,47;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"1999";1,99;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2000";2,18;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2001";1,92;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2002";1,76;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2003";1,67;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2004";1,67;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2005";1,61;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2006";1,49;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2007";1,66;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2008";1,97;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2009";1,64;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2010";1,72;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2011";1,86;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2012";2,14;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2013";2,22;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2014";2,08;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2015";2,03;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2016";2,28;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2017";2,29;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2018";2,38;"PLN";"";
0000000;"POLAND";"apple juice, boxed - per 1l";"2019";1,86;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"1999";2,31;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2000";2,40;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2001";2,53;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2002";3,11;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2003";3,11;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2004";2,98;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2005";2,93;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2006";2,97;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2007";3,39;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2008";3,64;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2009";3,35;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2010";3,47;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2011";3,86;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2012";0,00;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2013";0,00;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2014";0,00;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2015";0,00;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2016";3,53;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2017";3,10;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2018";3,69;"PLN";"";
0200000;"LOWER SILESIA";"frozen carrot and pea mix - per 1kg";"2019";3,54;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"1999";6,01;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2000";6,45;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2001";6,52;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2002";5,49;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2003";5,24;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2004";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2005";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2006";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2007";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2008";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2009";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2010";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2011";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2012";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2013";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2014";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2015";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2016";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2017";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2018";0,00;"PLN";"";
0200000;"LOWER SILESIA";"30% tomato concentrate - per 1kg";"2019";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"1999";2,04;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2000";2,68;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2001";3,07;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2002";2,71;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2003";2,56;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2004";2,61;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2005";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2006";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2007";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2008";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2009";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2010";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2011";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2012";0,00;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2013";3,50;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2014";3,58;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2015";3,48;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2016";3,56;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2017";3,61;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2018";3,57;"PLN";"";
0200000;"LOWER SILESIA";"whole pickled cucumbers 0.9l - per 1pc.";"2019";3,78;"PLN";"";
0200000;"LOWER SILESIA";"apple juice, boxed - per 1l";"1999";1,84;"PLN";"";
0200000;"LOWER SILESIA";"apple juice, boxed - per 1l";"2000";2,40;"PLN";"";
