"No","Date","Age","Sex","Post_Code","Source","Local","General"
1,"9:01:21, 20-09-2019",33,F,54-117,I,256,132
2,"9:01:32, 20-09-2019",38,F,54-131,I,323,255
3,"9:02:28, 20-09-2019",32,F,54-107,I,256,132
4,"9:02:44, 20-09-2019",36,M,53-339,I,4,5
5,"9:02:51, 20-09-2019",31,M,50-231,I,108,120
6,"9:03:12, 20-09-2019",25,F,54-154,I,172,307
7,"9:03:25, 20-09-2019",35,F,50-121,I,256,3
8,"9:03:36, 20-09-2019",34,F,54-144,I,323,255
9,"9:03:38, 20-09-2019",42,F,50-314,I,33,132
10,"9:03:38, 20-09-2019",29,M,54-115,I,271,301
